Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_CH,w_EU,w_JP,w_UK,w_AU,w_EM
2012-09-30,0.009351569082360105,0.009351569082360105,0.019738222218502077,0.37304604363903726,0.0,0.0,0.0,0.0,0.3682091827927094,0.0,0.3682091827927094,0.3682091827927094
2012-10-31,0.010421910978463955,0.010421910978463955,-0.0063943415003913096,0.7408702908135589,0.0,0.0,0.36776146416662936,0.36776146416662936,0.0,0.0,0.0,0.36776146416662936
2012-11-30,0.002635674012965291,0.002635674012965291,0.0056209185518383276,0.7440659309079847,0.0,0.0,0.0,0.0,0.0,0.3730267895095707,0.3730267895095707,0.3730267895095707
2012-12-31,0.01126886851713647,0.01126886851713647,0.004262503748241997,0.7473200346580076,0.0,0.0,0.3729240267743377,0.3729240267743377,0.0,0.0,0.0,0.3729240267743377
2013-01-31,0.0055248478599656415,0.0055248478599656415,0.018077085770568324,0.38295414851062437,0.0,0.0,0.3794896157411174,0.0,0.0,0.0,0.3794896157411174,0.3794896157411174
2013-02-28,-0.042859212508188735,-0.042859212508188735,-0.005018977206025732,0.7693352324895845,0.0,0.0,0.3858975021159235,0.3858975021159235,0.0,0.3858975021159235,0.0,0.0
2013-03-31,-0.003784147296231128,-0.003784147296231128,0.010487448866247195,0.39132250265907137,0.0,0.0,0.3864484750875913,0.3864484750875913,0.0,0.0,0.3864484750875913,0.0
2013-04-30,0.02128331821835723,0.02128331821835723,0.02151764148337909,0.3895453358729698,0.0,0.0,0.37647060622060313,0.37647060622060313,0.0,0.0,0.0,0.37647060622060313
2013-05-31,-0.035117321474498225,-0.035117321474498225,-0.016093652656552826,0.7636044018812351,0.0,0.0,0.0,0.0,0.0,0.3765136668823036,0.3765136668823036,0.3765136668823036
2013-06-30,-0.010723363379218448,-0.010723363379218448,-0.015392523383560675,0.3856919285015765,0.0,0.0,0.37357287357706565,0.0,0.0,0.0,0.37357287357706565,0.37357287357706565
2013-07-31,0.017963441804763957,0.017963441804763957,0.03392231934868084,0.38193970503115804,0.0,0.0,0.3863121171827109,0.3863121171827109,0.0,0.0,0.0,0.3863121171827109
2013-08-31,-0.002189175356616296,-0.002189175356616296,-0.013030174086485324,0.009332465730300193,0.0,0.0,0.3860782872974321,0.3860782872974321,0.0,0.0,0.0,0.3860782872974321
2013-09-30,0.020707171191292045,0.020707171191292045,0.035822545331181566,0.013822012814244639,0.0,0.0,0.39456323738805643,0.39456323738805643,0.0,0.0,0.0,0.39456323738805643
2013-10-31,0.002734153411726071,0.002734153411726071,0.025439243174733672,0.00797932310508695,0.0,0.0,0.39770543624528215,0.39770543624528215,0.0,0.0,0.0,0.39770543624528215
2013-11-30,0.008667579007218852,0.008667579007218852,0.004631593082167207,0.40089747487160754,0.0,0.0,0.3993506673733408,0.3993506673733408,0.0,0.3993506673733408,0.0,0.0
