Date,AU,GB,CH,JP,EU,US,EM
1995-08-01,0.0513643,,,0.028447718,,0.025716,0.11
1995-09-01,0.0513643,,,0.028447718,,0.025716,0.11
1995-10-01,0.0509555,,,0.035059305,,0.02490775,0.11
1995-11-01,0.0509555,,,0.035059305,,0.02490775,0.11
1995-12-01,0.0509555,,,0.035059305,,0.02490775,0.11
1996-01-01,0.0376176,,,0.032500276,0.014227335,0.02030775,0.1
1996-02-01,0.0376176,,,0.032500276,0.014227335,0.02030775,0.1
1996-03-01,0.0376176,,,0.032500276,0.014227335,0.02030775,0.1
1996-04-01,0.0309119,,0.012207936,0.035513408,0.014193752,0.023045,0.1
1996-05-01,0.0309119,,0.012207936,0.035513408,0.014193752,0.023045,0.1
1996-06-01,0.0309119,,0.012207936,0.035513408,0.014193752,0.023045,0.1
1996-07-01,0.0213741,,0.005777526,0.024801397,0.016423576,0.0222105,0.1
1996-08-01,0.0213741,,0.005777526,0.024801397,0.016423576,0.0222105,0.1
1996-09-01,0.0213741,,0.005777526,0.024801397,0.016423576,0.0222105,0.1
1996-10-01,0.0151515,,-0.000319704,0.03372767,0.019877628,0.02156075,0.1
1996-11-01,0.0151515,,-0.000319704,0.03372767,0.019877628,0.02156075,0.1
1996-12-01,0.0151515,,-0.000319704,0.03372767,0.019877628,0.02156075,0.1
1997-01-01,0.0135952,,0.004776682,0.027582748,0.021313862,0.0225085,0.09
1997-02-01,0.0135952,,0.004776682,0.027582748,0.021313862,0.0225085,0.09
1997-03-01,0.0135952,,0.004776682,0.027582748,0.021313862,0.0225085,0.09
1997-04-01,0.0029984,,-0.002133816,0.007461404,0.025416763,0.02354325,0.09
1997-05-01,0.0029984,,-0.002133816,0.007461404,0.025416763,0.02354325,0.09
1997-06-01,0.0029984,,-0.002133816,0.007461404,0.025416763,0.02354325,0.09
1997-07-01,-0.0044842,,0.01855242,0.008139692,0.028406335,0.025759,0.09
1997-08-01,-0.0044842,,0.01855242,0.008139692,0.028406335,0.025759,0.09
1997-09-01,-0.0044842,,0.01855242,0.008139692,0.028406335,0.025759,0.09
1997-10-01,-0.0029852,,0.032948472,-0.002618104,0.033659475,0.024698,0.09
1997-11-01,-0.0029852,,0.032948472,-0.002618104,0.033659475,0.024698,0.09
1997-12-01,-0.0029852,,0.032948472,-0.002618104,0.033659475,0.024698,0.09
1998-01-01,-0.0014903,,0.034664636,-0.0017678805040696243,0.038039596,0.02225925,0.08
1998-02-01,-0.0014903,,0.034664636,-0.01901465021319028,0.038039596,0.02225925,0.08
1998-03-01,-0.0014903,,0.034664636,-0.018590818800662073,0.038039596,0.02225925,0.08
1998-04-01,0.007474,0.014,0.03966848,-0.01833308341049627,0.029733441,0.02285825,0.08
1998-05-01,0.007474,0.014,0.03966848,-0.01463508848466023,0.029733441,0.02285825,0.08
1998-06-01,0.007474,0.014,0.03966848,-0.014584075217005315,0.029733441,0.02285825,0.08
1998-07-01,0.0135135,0.012,0.036376981,-0.014544339760286499,0.027127844,0.0237495,0.08
1998-08-01,0.0135135,0.012,0.036376981,-0.01468396278318156,0.027127844,0.0237495,0.08
1998-09-01,0.0135135,0.012,0.036376981,-0.0146564486435173,0.027127844,0.0237495,0.08
1998-10-01,0.01497,0.013,0.023322245,-0.014633531551763829,0.019494141,0.01967575,0.08
1998-11-01,0.01497,0.013,0.023322245,-0.006679785683636477,0.019494141,0.01967575,0.08
1998-12-01,0.01497,0.013,0.023322245,-0.006687141983912048,0.019494141,0.01967575,0.08
1999-01-01,0.0119402,0.014,0.012180053,-0.006693798623086601,0.020007951185226473,0.0250015,0.08
1999-02-01,0.0119402,0.014,0.012180053,-0.008317812695732188,0.022830540848135922,0.0250015,0.08
1999-03-01,0.0119402,0.014,0.012180053,-0.008322236430025437,0.02282049074832395,0.0250015,0.08
1999-04-01,0.0103857,0.01,0.012647405390088372,-0.008326262868176322,0.02281099097090227,0.02624125,0.08
1999-05-01,0.0103857,0.01,0.010080985308463885,-0.00012254323748836,0.023658831785254804,0.02624125,0.08
1999-06-01,0.0103857,0.01,0.010060521302914911,-0.0001269674366755988,0.02365189287616152,0.02624125,0.08
1999-07-01,0.0177777,0.009,0.010041498254540251,-0.00013115475693137,0.023645294016939322,0.02751125,0.08
1999-08-01,0.0177777,0.009,0.004462331132538717,0.0033816680434184407,0.031260432169383894,0.02751125,0.08
1999-09-01,0.0177777,0.009,0.004429448810349502,0.00337914565732859,0.03127304590797334,0.02751125,0.08
1999-10-01,0.0191741,0.002,0.004399576601976145,0.003376730776134598,0.031284431616340196,0.02999325,0.08
1999-11-01,0.0191741,0.002,0.011928578770079778,-0.004188864583022501,0.03902056639243574,0.02999325,0.08
1999-12-01,0.0191741,0.002,0.011919320626408977,-0.004194531000151091,0.03905395425197891,0.02999325,0.08
2000-01-01,0.0280236,-0.002,0.011910533775153043,-0.0041998738850415294,0.03908053536566881,0.0310915,0.09
2000-02-01,0.0280236,-0.002,0.04068604872311651,0.02642917451013415,0.04187836893672665,0.0310915,0.09
2000-03-01,0.0280236,-0.002,0.04085144061044197,0.026449361290369736,0.041886129348051825,0.0310915,0.09
2000-04-01,0.0308369,0.006,0.040987909271332064,0.026468384132068735,0.041892368019340175,0.0337065,0.09
2000-05-01,0.0308369,0.006,0.042784842074005805,0.026941579269613592,0.04675087568122897,0.0337065,0.09
2000-06-01,0.0308369,0.006,0.04289089377875843,0.026959311354233136,0.04671853414210461,0.0337065,0.09
2000-07-01,0.0611354,0.004,0.04298095225362321,0.02697607935461861,0.04669308276215472,0.0307485,0.09
2000-08-01,0.0611354,0.004,0.03709239264369295,0.021974181244879508,0.039598227296351006,0.0307485,0.09
2000-09-01,0.0611354,0.004,0.03713737519179698,0.021982787374481397,0.039604456416688916,0.0307485,0.09
2000-10-01,0.0578871,0.002,0.03717838011479554,0.021991059267517706,0.039610109087197455,0.03273625,0.09
2000-11-01,0.0578871,0.002,0.036832842276884804,0.0312948121409378,0.033664636957085624,0.03273625,0.09
2000-12-01,0.0578871,0.002,0.03686597322392443,0.031316899431654506,0.03366477485402408,0.03273625,0.09
