DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
29-02-88,0.0477,0.033,-0.0153,-0.0145,-0.0595,0.0151,0.0006
31-03-88,-0.0226,0.0611,0.0086,0.0061,0.0018,-0.0023,0.0178
30-04-88,0.0056,0.0109,0.0151,0.022,0.0043,-0.0009,0.019
31-05-88,-0.0027,-0.0252,0.0244,0.0066,0.0233,-0.0077,0.003
30-06-88,0.0478,0.0207,-0.0135,-0.0302,-0.0668,0.0152,-0.0352
31-07-88,-0.0125,-0.0018,0.0218,0.0066,0.0276,-0.0049,0.0153
31-08-88,-0.0331,-0.0002,0.0214,0.0036,0.0375,-0.0085,0.0165
30-09-88,0.0331,-0.0138,-0.0075,0.0029,-0.0103,0.0176,-0.0055
31-10-88,0.0116,-0.0297,0.0203,0.013,0.0373,0.0139,0.0099
30-11-88,-0.0227,-0.0158,0.0147,0.0018,0.0316,-0.0036,0.0164
31-12-88,0.0148,0.0194,-0.0183,0.0031,-0.0227,0.0069,-0.0038
31-01-89,0.0606,-0.0226,0.0061,-0.0025,-0.0259,-0.0097,0.0011
28-02-89,-0.0223,0.027,0.0099,0.0099,-0.0115,-0.0084,0.0188
31-03-89,0.0157,0.0068,0.0047,0.0351,0.0081,-0.0001,0.0065
30-04-89,0.0435,-0.0075,-0.0148,0.0171,0.0001,0.0073,-0.0048
31-05-89,0.0328,-0.0006,-0.009,0.0142,-0.0282,0.0045,-0.0026
30-06-89,-0.0133,-0.0104,0.0221,0.004,0.0421,0.0013,0.0152
31-07-89,0.0718,-0.0411,-0.028,0.0532,-0.0175,0.0205,-0.0056
31-08-89,0.0143,0.0048,0.0062,-0.0049,-0.0314,0.0036,-0.0061
30-09-89,-0.0076,0.0047,-0.0127,0.0351,0.0031,0.0139,0.0058
31-10-89,-0.0365,-0.033,-0.0116,0.0135,0.0551,0.0008,-0.0011
30-11-89,0.0104,-0.0126,-0.0113,0.027,0.0183,-0.0074,0.0138
31-12-89,0.0118,-0.0228,0.0015,0.0279,0.0489,-0.0007,0.0131
31-01-90,-0.078,-0.0121,0.0083,-0.0298,0.0192,-0.0112,0.014
28-02-90,0.0111,0.0115,0.0065,-0.0051,-0.0369,-0.0004,-0.0061
31-03-90,0.0183,0.0159,-0.029,0.0172,-0.0385,0.0199,-0.0094
30-04-90,-0.0336,-0.0035,-0.0257,0.0228,-0.0048,0.0178,-0.01
31-05-90,0.0844,-0.0241,-0.0389,0.0314,-0.068,0.0168,-0.0163
30-06-90,-0.0109,0.0131,-0.02,0.0249,-0.0156,-0.0099,-0.0039
31-07-90,-0.019,-0.0315,-0.0006,0.0604,0.0613,-0.001,0.0321
31-08-90,-0.1013,-0.0379,0.0156,0.0197,0.078,-0.0048,0.0299
